,Job Title,Rating,Average_salary,State
626,data scientist,4.7,63.0,IL
627,data scientist,3.0,63.0,IL
628,data scientist,3.8,104.5,IL
629,data scientist,3.6,104.5,IL
630,data scientist,3.9,104.5,IL
631,data scientist,3.2,104.5,IL
632,analyst,2.8,104.5,IL
633,data scientist,3.8,104.5,IL
634,data scientist,4.3,104.5,IL
635,data scientist,4.7,104.5,IL
636,researcher,3.8,104.5,IL
637,data scientist,5.0,104.5,IL
638,data scientist,4.2,104.5,IL
639,data scientist,4.0,104.5,IL
640,data scientist,3.8,104.5,IL
641,data scientist,2.6,104.5,IL
642,data scientist,2.7,104.5,IL
643,other,4.6,104.5,IL
644,data scientist,3.8,104.5,IL
645,data scientist,3.5,104.5,IL
646,data scientist,4.1,104.5,IL
647,data engineer,3.8,104.5,IL
648,data scientist,2.8,104.5,IL
649,data scientist,4.2,104.5,IL
650,data scientist,3.5,104.5,IL
651,data engineer,4.7,104.5,IL
652,data scientist,4.3,104.5,IL
653,data scientist,3.8,104.5,IL
654,analyst,3.8,104.5,IL
655,data scientist,3.1,98.0,IL
656,data scientist,3.8,98.0,IL
657,data scientist,3.8,98.0,IL
658,data scientist,3.2,98.0,IL
659,other,3.9,98.0,IL
660,data scientist,2.6,98.0,IL
661,data scientist,1.6,98.0,IL
662,data scientist,2.7,98.0,IL
663,data scientist,4.0,98.0,IL
664,data scientist,3.7,98.0,IL
665,data scientist,3.3,98.0,IL
666,data scientist,4.7,98.0,IL
667,data scientist,2.9,98.0,IL
668,data scientist,3.5,98.0,IL
669,data scientist,3.6,98.0,IL
670,analyst,3.7,98.0,IL
671,data scientist,4.5,98.0,IL
672,data scientist,3.9,98.0,IL
673,machine learning engineer,3.3,98.0,IL
674,data scientist,3.3,98.0,IL
675,analyst,3.8,98.0,IL
676,data scientist,2.8,98.0,IL
677,data scientist,3.6,98.0,IL
678,data scientist,3.7,98.0,IL
679,data scientist,4.5,98.0,IL
680,researcher,3.9,98.0,IL
681,data scientist,3.4,98.0,IL
682,other,4.0,98.0,IL
683,data scientist,3.5,43.5,IL
684,machine learning engineer,3.2,43.5,IL
685,other,3.1,43.5,IL
686,data scientist,3.2,43.5,IL
687,other,2.5,43.5,IL
688,other,4.6,43.5,IL
689,analyst,3.2,43.5,IL
690,researcher,4.7,43.5,IL
691,data scientist,4.0,43.5,IL
692,researcher,3.9,43.5,IL
693,analyst,4.1,43.5,IL
694,researcher,4.7,43.5,IL
695,analyst,4.0,43.5,IL
696,analyst,4.0,43.5,IL
697,data scientist,5.0,43.5,IL
698,data scientist,3.5,43.5,IL
699,analyst,3.4,43.5,IL
700,data scientist,1.0,43.5,IL
701,data scientist,2.6,43.5,IL
702,other,3.5,43.5,IL
703,data engineer,4.1,43.5,IL
704,analyst,4.7,43.5,IL
705,analyst,3.8,43.5,IL
706,analyst,3.7,43.5,IL
707,researcher,3.8,43.5,IL
708,data engineer,3.4,43.5,IL
709,analyst,3.4,43.5,IL
710,other,3.5,43.5,IL
711,analyst,3.1,43.5,IL
712,analyst,3.4,60.0,IL
713,analyst,3.9,60.0,IL
714,analyst,4.1,60.0,IL
715,analyst,3.9,60.0,IL
716,analyst,2.8,60.0,IL
717,data scientist,4.5,60.0,IL
718,analyst,3.8,60.0,IL
719,researcher,4.8,60.0,IL
720,machine learning engineer,3.2,60.0,IL
721,data scientist,3.9,60.0,IL
722,other,3.7,60.0,IL
723,analyst,3.3,60.0,IL
724,analyst,4.7,60.0,IL
725,data scientist,3.3,60.0,IL
726,other,4.0,60.0,IL
727,analyst,4.6,60.0,IL
728,other,3.2,60.0,IL
729,data scientist,3.3,60.0,IL
730,other,3.9,60.0,IL
731,other,3.2,60.0,IL
732,data scientist,3.7,60.0,IL
733,analyst,3.4,60.0,IL
734,data engineer,4.4,60.0,IL
735,analyst,4.1,60.0,IL
736,data scientist,3.8,60.0,IL
737,analyst,3.5,60.0,IL
738,analyst,3.8,60.0,IL
739,analyst,3.9,60.0,IL
740,data engineer,3.8,136.5,IL
741,analyst,3.6,136.5,IL
742,data engineer,4.8,136.5,IL
743,analyst,5.0,136.5,IL
744,data scientist,2.4,136.5,IL
745,data scientist,3.7,136.5,IL
746,analyst,3.7,136.5,IL
747,data engineer,4.3,136.5,IL
748,data engineer,4.5,136.5,IL
749,data scientist,3.4,136.5,IL
750,data scientist,3.9,136.5,IL
751,data engineer,3.8,136.5,IL
752,other,3.8,136.5,IL
753,analyst,3.5,136.5,IL
754,other,3.4,136.5,IL
755,other,4.0,136.5,IL
756,data engineer,3.8,136.5,IL
757,data engineer,5.0,136.5,IL
758,analyst,3.8,136.5,IL
759,data scientist,3.6,136.5,IL
760,data engineer,5.0,136.5,IL
761,data engineer,4.5,136.5,IL
762,researcher,4.2,136.5,IL
763,data engineer,3.7,136.5,IL
764,data scientist,3.7,136.5,IL
765,other,3.3,136.5,IL
766,machine learning engineer,3.3,136.5,IL
767,data engineer,3.7,136.5,IL
768,analyst,2.9,111.5,IL
769,analyst,2.7,111.5,IL
770,analyst,3.5,111.5,IL
771,data engineer,3.1,111.5,IL
772,data scientist,3.9,111.5,IL
773,other,3.7,111.5,IL
774,other,3.5,111.5,IL
775,analyst,4.1,111.5,IL
776,analyst,4.5,111.5,IL
777,machine learning engineer,4.1,111.5,IL
778,data scientist,2.0,111.5,IL
779,researcher,4.1,111.5,IL
780,analyst,4.0,111.5,IL
781,other,4.6,111.5,IL
782,data scientist,5.0,111.5,IL
783,analyst,3.7,111.5,IL
784,data scientist,5.0,111.5,IL
785,other,3.7,111.5,IL
786,machine learning engineer,2.7,111.5,IL
787,analyst,3.9,111.5,IL
788,data scientist,4.2,111.5,IL
789,data engineer,4.1,111.5,IL
790,data engineer,3.7,111.5,IL
791,analyst,4.0,111.5,IL
792,analyst,3.7,111.5,IL
793,analyst,4.5,111.5,IL
794,data scientist,3.3,111.5,IL
795,data engineer,4.0,111.5,IL
